INE_ID,candidate_name,party,year
408,Armando E. R. P. Simões Pacheco,CDS-PP,2009
408,Francisco Fernandes Madruga,PCP-PEV,2009
408,António G. S. Moraes Machado,PPD/PSD,2009
408,João F. P. Freitas Meira,PS,2009
409,Sidónio Caetano Fernandes,PCP-PEV,2009
409,Nuno Jorge Rodrigues Gonçalves,PPD/PSD.CDS-PP,2009
409,Fernando António Aires Ferreira,PS,2009
410,Fernando Eduardo Ferreira,CDS-PP,2009
410,Rui Manuel Correia Tadeu,PCP-PEV,2009
410,Paulo Renato Veiga de Carvalho,PPD/PSD,2009
410,Artur G. G. Vaz Pimentel,PS,2009
411,Antónia Maria C. T. Brinquete,PCP-PEV,2009
411,José Baptista Rodrigues,PPD/PSD,2009
411,Jorge dos Santos Rodrigues Fernandes,PS,2009
412,Mário Augusto Gomes Gonçalves,CDS-PP,2009
412,Manuel Dinis Lousada,PCP-PEV,2009
412,Carlos Alberto Matias Costa,PPD/PSD,2009
412,Américo Jaime Afonso Pereira,PS,2009
501,Fernando Luís Pinto Proença,B.E.,2009
501,João Manuel Soares Gonçalves,CDS-PP,2009
501,Germano Fernandes,MPT,2009
501,Tito José Ferreira Soares,PCP-PEV,2009
501,Jorge Manuel dos Santos Amaro,PPD/PSD,2009
501,Amândio Manuel Ferreira Melo,PS,2009
501,Davide José Duarte Monteiro,PTP,2009
502,Gonçalo Nunes Simões da Silva Fabrício,B.E.,2009
502,Luís Manuel Rodrigues Simões da Paixão,CDS-PP,2009
502,Francisco José Antunes da Costa,PCP-PEV,2009
502,Manuel de Sousa Eusébio,PPD/PSD,2009
502,Joaquim Morão Lopes Dias,PS,2009
503,José Serra dos Reis,B.E.,2009
503,Nuno Flávio da Costa Reis,CDS-PP,2009
503,Jorge Manuel Roque Batista Fael,PCP-PEV,2009
503,Carlos Alberto Pinto,PPD/PSD,2009
503,Vitor Manuel Pinheiro Pereira,PS,2009
504,Aires Lino de Almeida Patrício,CDS-PP,2009
504,José Luís Cabaço Reis Oliveira,PCP-PEV,2009
504,Manuel Joaquim Barata Frexes,PPD/PSD,2009
504,António Augusto Leal Salvado,PS,2009
505,José Pedro Rebola Ferreira de Sousa,CDS-PP,2009
505,José Moreira Bargão,PCP-PEV,2009
505,Luís Filipe de Sousa Silveira Rodrigues,PPD/PSD,2009
505,Álvaro José Cachucho Rocha,PS,2009
506,António da Trindade dos Santos,PCP-PEV,2009
506,José dos Santos Marques,PPD/PSD,2009
506,Aniceto Caldeira Rijo,PS,2009
507,Ana Paula Cunha Martins Pinto Pires,PCP-PEV,2009
507,Vitor Manuel de Sousa Gabriel,PPD/PSD.CDS-PP.MPT,2009
507,Domingos Manuel Bicho Torrão,PS,2009
508,Rui Manuel Delgado Brejo,CDS-PP,2009
508,Francisco Ribeiro Delgado,PCP-PEV,2009
508,Ricardo Jorge da Silva Esteves Ribeiro Nunes,PPD/PSD,2009
508,João Paulo Marçal Lopes Catarino,PS,2009
509,Fernando Farinha Ferreira,B.E.,2009
509,Pedro Martins de Jesus,CDS-PP,2009
509,Benvinda Ferreira dos Santos Duarte,PCP-PEV,2009
509,José Farinha Nunes,PPD/PSD,2009
509,José Paulo Barata Farinha,PS,2009
510,Vicente José da Silva,CDS-PP,2009
510,Isilda Cristina Laranjeira da Silva,PCP-PEV,2009
510,Maria Irene da Conceição Barata Joaquim,PPD/PSD,2009
510,José Januário Jerónimo,PS,2009
511,Gonçalo António Moura Fernandes,CDS-PP,2009
511,António José Ferro Inácio,PCP-PEV,2009
511,Natália Lopes Ramos,PPD/PSD,2009
511,Maria do Carmo de Jesus Amaro Sequeira,PS,2009
601,Rui Miguel da Silva,I,2009
601,José Tiago Almeida,PCP-PEV,2009
601,Ricardo João Barata Pereira Alves,PPD/PSD,2009
601,Eduardo Miguel Duarte Ventura,PS,2009
602,Jorge Manuel Gonçalves Vicente,PCP-PEV,2009
602,João Carlos Vidaurre Pais de Moura,PPD/PSD,2009
602,Manuel Augusto Simões Ruivo,PS,2009
603,Catarina Isabel Caldeira Martins,B.E.,2009
603,Francisco José Pina Queirós,PCP-PEV,2009
603,Carlos Manuel de Sousa Encarnação,PPD/PSD.CDS-PP.PPM,2009
603,Alvaro Jorge de Maia Seco,PS,2009
603,Horácio Augusto de Pina Prata,XVII,2009
604,José Correia Soares Gil,B.E.,2009
604,Antonio Moreira da Costa Albuquerque,PCP-PEV,2009
604,Vasco José Veríssimo Loureiro Figueira,PPD/PSD,2009
604,Jorge Manuel da Conceição Teixeira Bento,PS,2009
605,Rui Miguel Curado da Silva,B.E.,2009
605,Francisca da Ressurreição Geraldes,CDS-PP,2009
605,Francisco Javier Orestes Mariano Mendez de Vigo Perez Seoane,MMS,2009
605,Silvina da Silva Fonseca Anadio de Queiróz,PCP-PEV,2009
605,Antonio Batista Duarte Silva,PPD/PSD,2009
605,João Albino Rainho Ataide das Neves,PS,2009
605,Daniel Martins dos Santos,VI,2009
606,Antonio Flores Tavares,PCP-PEV,2009
606,Diamantino Jorge Simões Garcia,PPD/PSD,2009
606,Maria de Lurdes de Oliveira Castanheira,PS,2009
607,Ana Filomena Leite Amaral,B.E.,2009
607,Maria da Conceição Loureiro,PCP-PEV,2009
607,Filipe José Soares,PPD/PSD,2009
607,Fernando dos Santos Carvalho,PS,2009
608,Agostinho Neves da Silva,II,2009
608,João Evangelista Gentil,PCP-PEV,2009
608,João Evangelista Rocha de Almeida,PPD/PSD,2009
608,João Maria Ribeiro Reigota,PS,2009
609,João Miguel dos Reis Simões Santos,B.E.,2009
