INE_ID,name,party
803,Vitor Manuel da Encarnação Vicente,PPD/PSD
803,José Manuel Velhinho Amarelinho,PS
804,Pedro Fernando Oliveira Tavares,B.E.
804,Manuel das Neves Doutel,CDS-PP
804,João Francisco Valente Lopes Dias,PCP-PEV
804,Francisco Augusto Caimoto Amaral,PPD/PSD
804,Carlos José Muge Nóbrega,PS
805,Vítor Manuel Bexiga Ruivo,B.E.
805,José Adriano Gago Vitorino,I
805,António Manuel Dias Mendonça,PCP-PEV
805,Rogério Conceição Bacalhau Coelho,PPD/PSD.CDS-PP.MPT.PPM
805,Vítor Manuel Maria Parreira da Silva,PPV
805,Paulo Jorge dos Santos Neves,PS
806,Jorge Manuel Albano da Encarnação Ramos,B.E.
806,Joaquim António Barrinhos Andrés,PCP-PEV
806,José Inácio Marques Eduardo,PPD/PSD
806,Francisco José Malveiro Martins,PS
807,Manuela José Goes Ferreira da Silva,B.E.
807,Artur José Gomes Rêgo,CDS-PP.MPT
807,Luís Carlos Carradinha Reis,PCP-PEV
807,Nuno Filipe Carreiro Ferreira Serafim,PPD/PSD
807,Paulo Jorge do Rosário Dias,PPM/PPV/PND
807,Maria Joaquina Baptista Quintans de Matos,PS
807,Luís Manuel da Silva Barroso,XVIII
808,Horácio Filipe Guilherme Ferreira,CDS-PP
808,Adelino José Neto Guerreiro,JPP
808,Joaquim José Rosa Nogueira,PCP-PEV
808,Helder Manuel Faria Martins,PPD/PSD
808,Vitor Manuel Gonçalves Aleixo,PS
809,Carlos Henrique Correia Alves,I
809,José Matias da Conceição Francisco,PCP-PEV
809,Rui Miguel da Silva André,PPD/PSD
809,Maria da Graça Cerro Batalim da Mota,PS
810,Ivo Manuel Neto Madeira Conceição,B.E.
810,Rui Manuel Correia Costa,CDS-PP
810,João Manuel Dias Pereira,I
810,Sebastião Manuel da Quinta Coelho,PCP-PEV
810,António Manuel Ferro Terramoto,PCTP/MRPP
810,Eduardo Manuel da Cruz,PPD/PSD
810,António Miguel Ventura Pina,PS
811,João Manuel Duarte Vasconcelos,B.E.
811,José Pedro da Silva Caçorino,CDS-PP.MPT.PPM
811,Nelson Manuel da Conceição de Freitas,PCP-PEV
811,Pedro Humberto Castelo Terras Xavier,PPD/PSD
811,Isilda Maria Prazeres dos Santos Varges Gomes,PS
812,Cláudia Sofia Valente Brália,CDS-PP
812,Renato Edmundo Proença dos Santos,PCP-PEV
812,Rui Manuel Jacinto Eusébio,PPD/PSD
812,Vítor Manuel Martins Guerreiro,PS
813,Carlos David da Loura Marques,B.E.
813,Rosa Cristina Gonçalves da Palma,PCP-PEV
813,Rogério Santos Pinto,PPD/PSD
813,Fernando José Serpa Cabrita,PS
814,Carlos Manuel Eusébio Lopes,B.E.
814,Miguel Nuno Duarte Barão da Cunha,PCP-PEV
814,José Fernandes Estevens,PPD/PSD.CDS-PP.MPT.PPM
814,Jorge Manuel do Nascimento Botelho,PS
815,José Manuel Pacheco Teixeira Machado,PCP-PEV
815,Gilberto Repolho dos Reis Viegas,PPD/PSD
815,Adelino Augusto da Rocha Soares,PS
816,Mário Fernando Ascenso de Matos,B.E.
816,Maria Luisa Tubal Condessa Doutel,CDS-PP
816,José Estevão Correia da Cruz,PCP-PEV
816,Luis Filipe Soromenho Gomes,PPD/PSD
816,David Matias Murta,PS
901,Joaquim António Marques Bonifácio,I
901,Paulo Jorge Neves Silva,PCP-PEV
901,Fernando Augusto da Costa Pires,PPD/PSD
902,João Luís Gonçalves de Frias Terreiro,PCP-PEV
902,António Baptista Ribeiro,PPD/PSD.CDS-PP
902,Joaquim dos Santos Fernandes,PS
903,José Pedro Branquinho Branco,PCP-PEV
903,Manuel António de Almeida Portugal,PPD/PSD.CDS-PP
903,José Francisco Gomes Monteiro,PS
903,António Carlos da Costa Andrade,PTP
904,Manuel Joaquim de Carvalho Teixeira,PCP-PEV
904,António Edmundo Freire Ribeiro,PPD/PSD
904,Paulo José Gomes Langrouva,PS
905,Cristina Maria Campos Guerra,CDS-PP
905,Joaquim Alberto Santos de Almeida,PCP-PEV
905,João Carlos Paulo Nunes Felicio da Costa,PPD/PSD
905,António Manuel Pina Fonseca,PS
906,Fernanda Maria Silva Bernardo,PCP-PEV
906,Luís Manuel Tadeu Marques,PPD/PSD.CDS-PP
906,Armando José Dos Santos Almeida,PS
907,Marco Alexandre da Silva Loureiro,B.E.
907,Mário Triunfante Martins,PCP-PEV
907,Eduardo Pires do Espírito Santo,PCTP/MRPP
907,Álvaro dos Santos Amaro,PPD/PSD.CDS-PP
907,José Martins Igreja,PS
908,Manuel Abrantes Craveiro Aldeia,PCP-PEV
908,José Manuel Custódia Biscaia,PPD/PSD
908,Esmeraldo Saraiva Neto Carvalhinho,PS
909,António César Valente Figueiredo,CDS-PP
909,Manuel de Jesus Darei Frade,PCP-PEV
909,Paulo Jorge de Lemos Amaral,PPD/PSD
909,José Mário de Lemos Damião,PPM
909,Anselmo Antunes de Sousa,PS
910,Carlos Miguel Saraiva Gonçalves,CDS-PP
910,Joaquim Luís Ferreira,PCP-PEV
910,Rui Manuel Saraiva Ventura,PPD/PSD
910,José Vital Tomé Saraiva,PS
911,Filipe Tomé Pina Monteiro,CDS-PP
911,João Manuel Aristides Duarte,PCP-PEV
911,António dos Santos Robalo,PPD/PSD
911,António José Gonçalves dos Santos Vaz,PS
911,Carlos Alberto Garrido Rito,PTP
912,Margarida Maria da Silva Abrantes Figueiredo,PCP-PEV
912,Albano António Cabral Figueiredo,PPD/PSD.CDS-PP
912,Carlos Filipe Camelo Miranda de Figueiredo,PS
913,João Albino Pereira Mendes,CDS-PP
913,João António da Fonseca Ribeiro,PCP-PEV
